cover,title,author,isbn,isbn13,asin,pages,avg_rating,num_ratings,date_pub,date_pub_edition,review,comments,read_count,date_started,date_read,goodreads_id,goodreads_url,rating_text,rating_numeric
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1737312514l/176444106.jpg,Abundance,"Klein, Ezra",1668023482,9781668023488,1668023482,304.0,4.17,4247,2025,2025,,0,"Mar 30, 2025",2025-04-05,2025-03-30,176444106,https://www.goodreads.com/book/show/176444106-abundance,,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414l/44767458.jpg,"Dune(Dune, #1)","Herbert, Frank",059309932X,9780593099322,059309932X,658.0,4.28,1537762,1965,2019,,1,"Dec 21, 2024",2025-01-13,2024-12-21,44767458,https://www.goodreads.com/book/show/44767458-dune,it was amazing,5.0
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585073864l/52675128.jpg,Fantastic Night,"Zweig, Stefan",6057972163,9786057972163,6057972163,79.0,3.92,19450,1922,2018,,0,Dec 2024,2024-12-01,2024-12-01,52675128,https://www.goodreads.com/book/show/52675128-fantastic-night,,
https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,Did he do it?,"Zweig, Stefan",,,B0DV9CQ15H,,3.90,3676,1935,,,0,"Oct 31, 2024",2024-10-31,2024-10-31,40945661,https://www.goodreads.com/book/show/40945661-did-he-do-it,,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646444605l/485894.jpg,The Metamorphosis,"Kafka, Franz",0553213695,9780553213690,0553213695,201.0,3.89,1293550,1915,1972,,0,"Oct 20, 2024",2024-10-20,2024-10-17,485894,https://www.goodreads.com/book/show/485894.The_Metamorphosis,,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328309104l/7682.jpg,The Great Train Robbery,"Crichton, Michael",0553129198,9780553129199,0553129198,300.0,3.89,33536,1975,1979,,0,"May 17, 2024",2024-05-18,2024-05-12,7682,https://www.goodreads.com/book/show/7682.The_Great_Train_Robbery,,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388264944l/26901.jpg,Seeing Is Forgetting the Name of the Thing One Sees: A Life of Contemporary Artist Robert Irwin,"Weschler, Lawrence",0520049209,9780520049208,0520049209,215.0,4.34,2425,1982,1982,,0,"Mar 29, 2024",2024-04-18,2024-03-24,26901,https://www.goodreads.com/book/show/26901.Seeing_Is_Forgetting_the_Name_of_the_Thing_One_Sees,,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481283595l/33297733.jpg,Amok Koşucusu,"Zweig, Stefan",,,B0DM1WJB7S,64.0,3.98,23488,1922,2016,,0,"Mar 23, 2024",2024-03-24,2024-03-23,33297733,https://www.goodreads.com/book/show/33297733-amok-ko-ucusu,,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172512419l/182163.jpg,Twenty-Four Hours in the Life of a Woman,"Zweig, Stefan",1901285480,9781901285482,1901285480,112.0,3.90,37544,1925,2003,"Every time I finish a Zweig novel, I bring the book to my lap, leaving myself speechless at what I just read. I didn't appreciate the phrase ""hangingEvery time I finish a Zweig novel, I bring the book to my lap, leaving myself speechless at what I just read. I didn't appreciate the phrase ""hanging on to every word"" until my first introduction to Zweig, Chess Story. 24hrs carries on that appreciation!Zweig takes Chess Story, Letter from an Unknown Woman, and this novella into a common setup: he places you in the role of an unbeknown character who meets an impressionable stranger. From that point on, the stranger recalls an epic adventure to us. Vices, obsessions, and confessions all come out in great detail, all of which I can greatly empathize with, despite someone reading this almost 100 years after publication. The title of this book lives up to expectations, as a woman recounts a day in her life in a near hour-by-hour refrain. The story brought back feelings of my first love, heartbreak, addiction, and recognition of mortality.I implore anyone I meet to read a Zweig novella or two! Read Chess Story, then this one. They're no longer than 100 pages, and everyone I've ever known who read them did so in less than two days. He's that good!...more",1,"Mar 15, 2024",2024-03-16,2024-03-15,182163,https://www.goodreads.com/book/show/182163.Twenty_Four_Hours_in_the_Life_of_a_Woman,it was amazing,5.0
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320552628l/414999.jpg,Childhood’s End,"Clarke, Arthur C.",,,,224.0,4.12,168141,1953,1987,,0,"Mar 08, 2024",2024-03-15,2024-03-06,414999,https://www.goodreads.com/book/show/414999.Childhood_s_End,it was amazing,5.0
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347488145l/6659874.jpg,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,"Benioff, Marc",0470521163,9780470521168,0470521163,304.0,3.78,4748,2009,2009,,0,"Feb 03, 2024",2024-03-10,2024-02-01,6659874,https://www.goodreads.com/book/show/6659874-behind-the-cloud,,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656075543l/59563188.jpg,Knee Ability Zero,"Patrick, Ben",,9798985135800,B09KNGDYGL,98.0,4.39,646,,2021,,0,not set,2024-01-19,2023-12-31,59563188,https://www.goodreads.com/book/show/59563188-knee-ability-zero,,
